1,Bulvar Rokossovskogo,??????? ?????????????,14,01/08/1990,?8 m,"column, triple-span",55°48?53?N 37°44?03?E? / ?55.8148°N 37.7342°E? / 55.8148; 37.7342? (Bulvar Rokossovskogo (Sokolnicheskaya line))
1,Cherkizovskaya,????????????,14,01/08/1990,?9 m,"single-vault, shallow",55°48?14?N 37°44?41?E? / ?55.8038°N 37.7448°E? / 55.8038; 37.7448? (Cherkizovskaya)
1,Preobrazhenskaya Ploshchad,?????????????? ???????,,31/12/1965,?8 m,"column, triple-span",55°47?47?N 37°42?54?E? / ?55.7963°N 37.7151°E? / 55.7963; 37.7151? (Preobrazhenskaya Ploshchad)
1,Sokolniki,??????????,,15/05/1935,?9 m,"column, triple-span",55°47?20?N 37°40?49?E? / ?55.7888°N 37.6802°E? / 55.7888; 37.6802? (Sokolniki)
1,Krasnoselskaya,??????????????,,15/05/1935,?8 m,"column, double-span",55°46?48?N 37°40?02?E? / ?55.7801°N 37.6673°E? / 55.7801; 37.6673? (Krasnoselskaya)
1,Komsomolskaya,?????????????,5,15/05/1935,?8 m,"column, triple-span",55°46?31?N 37°39?22?E? / ?55.7753°N 37.6562°E? / 55.7753; 37.6562? (Komsomolskaya (Sokolnicheskaya line))
1,Krasnye Vorota,??????? ??????,,15/05/1935,?31 m,"pylon, triple-vault",55°46?08?N 37°38?55?E? / ?55.7690°N 37.6487°E? / 55.7690; 37.6487? (Krasnye Vorota)
1,Chistyye Prudy,?????? ?????,6+10,15/05/1935,?35 m,"pylon, triple-vault",55°45?57?N 37°38?20?E? / ?55.7657°N 37.6388°E? / 55.7657; 37.6388? (Chistye Prudy)
1,Lubyanka,???????,7,15/05/1935,?32.5 m,"pylon, triple-vault",55°45?35?N 37°37?38?E? / ?55.7597°N 37.6272°E? / 55.7597; 37.6272? (Lubyanka)
1,Okhotny Ryad,??????? ???,2+3,15/05/1935,?15 m,"pylon, triple-vault",55°45?28?N 37°37?00?E? / ?55.7577°N 37.6166°E? / 55.7577; 37.6166? (Okhotny Ryad)
1,Biblioteka Imeni Lenina,?????????? ????? ??????,3+4+9,15/05/1935,?12 m,"single-vault, shallow",55°45?04?N 37°36?36?E? / ?55.7512°N 37.6100°E? / 55.7512; 37.6100? (Biblioteka Imeni Lenina)
1,Kropotkinskaya,?????????????,,15/05/1935,?13 m,"column, triple-span",55°44?43?N 37°36?13?E? / ?55.7453°N 37.6037°E? / 55.7453; 37.6037? (Kropotkinskaya)
